,idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao
77,37,1986-09-23,Goiás,10279.89,Ensino Médio,0,Casado,Tecnologia
78,33,1990-12-01,Sergipe,10491.23,Ensino Superior,0,Casado,Tecnologia
81,61,1962-12-11,Minas Gerais,4189.37,Ensino Médio,0,Solteiro,Educação
82,30,1994-03-05,Amazonas,4253.02,Ensino Superior,0,Casado,Comércio
83,19,2005-03-13,São Paulo,3472.01,Ensino Médio,4,Casado,Saúde
84,27,1996-07-26,São Paulo,5043.59,Ensino Médio,5,Solteiro,Tecnologia
86,53,1971-02-14,Pernambuco,16878.91,Pós-graduação,2,Casado,Educação
87,45,1978-12-24,Roraima,9106.5,Ensino Médio,0,Solteiro,Saúde
88,40,1983-12-17,Distrito Federal,6051.48,Ensino Fundamental,3,Solteiro,Tecnologia
89,43,1981-04-06,Rondônia,6732.19,Ensino Médio,0,Casado,Comércio
90,27,1996-10-17,Minas Gerais,2975.55,Ensino Médio,0,Divorciado,Indústria
91,45,1978-08-02,Paraíba,11210.57,Ensino Superior,1,Solteiro,Comércio
92,22,2001-12-10,Mato Grosso,4559.16,Ensino Superior,0,Casado,Educação
93,39,1984-05-22,Amapá,4054.92,Ensino Fundamental,0,Solteiro,Comércio
94,55,1969-01-28,Tocantins,12509.8,Pós-graduação,1,Casado,Saúde
95,59,1964-08-12,Acre,3654.98,Ensino Fundamental,1,Divorciado,Comércio
96,49,1975-01-10,Rio de Janeiro,8611.1,Ensino Superior,0,Casado,Saúde
97,63,1960-11-07,Rio Grande do Sul,6666.87,Ensino Médio,2,Casado,Comércio
98,19,2005-02-04,Pernambuco,1593.65,Ensino Fundamental,1,Solteiro,Educação
100,20,2003-10-12,Rio Grande do Sul,5069.23,Ensino Médio,0,Solteiro,Saúde
101,56,1967-10-25,Pernambuco,11820.72,Ensino Superior,1,Divorciado,Saúde
102,53,1971-02-25,Pernambuco,14303.7,Ensino Superior,2,Viúvo,Tecnologia
103,61,1963-04-05,Rondônia,4946.28,Ensino Médio,0,Solteiro,Comércio
104,54,1969-09-30,Roraima,5003.55,Ensino Médio,1,Divorciado,Educação
106,43,1980-10-04,Rondônia,5648.23,Ensino Médio,3,Casado,Saúde
107,18,2006-01-05,Espírito Santo,6662.12,Ensino Superior,0,Solteiro,Educação
108,52,1971-06-22,Mato Grosso do Sul,7833.93,Ensino Médio,1,Casado,Indústria
109,79,1944-09-24,Santa Catarina,2999.89,Ensino Fundamental,0,Casado,Indústria
110,42,1981-05-14,Bahia,7863.54,Ensino Superior,4,Casado,Tecnologia
111,31,1992-11-29,Espírito Santo,2540.53,Ensino Fundamental,0,Divorciado,Indústria
113,33,1991-03-28,Maranhão,6179.44,Ensino Médio,1,Casado,Saúde
114,64,1959-08-09,Mato Grosso,7677.11,Ensino Fundamental,0,Solteiro,Indústria
115,22,2002-01-11,Bahia,5261.29,Ensino Médio,2,Casado,Educação
116,63,1961-02-12,Goiás,4388.63,Ensino Fundamental,0,Solteiro,Tecnologia
117,25,1998-09-24,Rio Grande do Sul,7653.98,Ensino Médio,1,Casado,Saúde
118,54,1969-06-29,Acre,3615.51,Ensino Médio,0,Solteiro,Tecnologia
119,27,1996-05-04,Rio Grande do Norte,6736.01,Ensino Médio,3,Casado,Indústria
120,48,1975-12-09,Ceará,8778.35,Ensino Médio,0,Casado,Comércio
121,29,1994-09-23,Bahia,5750.17,Ensino Superior,0,Solteiro,Comércio
122,77,1946-05-13,Tocantins,12245.98,Ensino Médio,0,Solteiro,Saúde
124,47,1976-06-15,Rondônia,7152.08,Ensino Médio,1,Casado,Indústria
125,47,1977-02-26,Rio Grande do Norte,5305.75,Ensino Superior,1,Casado,Indústria
126,43,1980-06-10,Distrito Federal,4721.31,Ensino Médio,1,Casado,Educação
127,31,1993-02-07,Acre,6056.4,Ensino Médio,0,Casado,Comércio
128,18,2005-07-26,Amazonas,2386.9,Ensino Fundamental,1,Casado,Educação
130,20,2003-11-09,Santa Catarina,1700.15,Ensino Fundamental,2,Casado,Comércio
131,36,1987-09-27,Paraná,3861.92,Ensino Fundamental,0,Casado,Comércio
132,47,1976-10-24,Amazonas,6081.45,Ensino Médio,0,Casado,Saúde
133,30,1993-09-26,Amapá,5101.38,Ensino Superior,0,Casado,Saúde
134,29,1994-12-18,Ceará,2443.38,Ensino Médio,0,Casado,Comércio
135,48,1976-03-23,Sergipe,10761.24,Ensino Superior,1,Casado,Comércio
136,46,1978-01-02,Pernambuco,10789.48,Ensino Médio,1,Casado,Saúde
137,44,1979-12-29,Rondônia,6303.77,Ensino Médio,2,Casado,Indústria
138,56,1967-05-13,Amazonas,13937.67,Ensino Médio,0,Casado,Tecnologia
140,34,1989-05-01,Tocantins,11127.47,Ensino Superior,2,Casado,Saúde
141,46,1977-12-24,Distrito Federal,12216.39,Ensino Superior,3,Casado,Saúde
142,35,1988-04-25,Tocantins,8219.17,Ensino Médio,0,Casado,Saúde
143,60,1964-02-02,Minas Gerais,4739.76,Ensino Fundamental,1,Casado,Indústria
144,36,1987-09-05,Mato Grosso do Sul,7769.92,Ensino Médio,2,Casado,Saúde
145,34,1990-01-12,Acre,14499.59,Ensino Superior,0,Solteiro,Saúde
146,21,2003-04-03,Roraima,2913.21,Ensino Fundamental,2,Casado,Tecnologia
147,64,1960-03-12,Rio de Janeiro,4401.9,Ensino Superior,0,Casado,Comércio
148,23,2000-11-24,Piauí,5183.17,Ensino Médio,0,Casado,Indústria
149,58,1965-04-18,Pernambuco,20538.3,Ensino Superior,0,Casado,Saúde
150,24,2000-02-17,Rondônia,4650.45,Ensino Superior,1,Casado,Educação
151,30,1993-05-19,Alagoas,3963.92,Ensino Fundamental,0,Casado,Comércio
153,51,1972-06-27,Maranhão,8590.86,Ensino Superior,0,Solteiro,Comércio
154,34,1989-04-28,Amapá,4162.27,Ensino Médio,3,Solteiro,Saúde
155,18,2005-10-06,Mato Grosso do Sul,4557.42,Ensino Médio,2,Divorciado,Comércio
156,63,1960-11-24,Sergipe,8395.68,Ensino Superior,0,Casado,Comércio
157,20,2003-08-16,Paraná,5629.47,Ensino Médio,1,Casado,Indústria
158,21,2002-11-18,Pará,6410.17,Ensino Médio,0,Casado,Indústria
159,79,1944-10-08,Piauí,4609.63,Ensino Médio,1,Casado,Educação
160,31,1992-10-14,Ceará,2858.06,Ensino Fundamental,3,Solteiro,Tecnologia
161,22,2001-10-28,Rio Grande do Sul,4336.68,Ensino Médio,1,Solteiro,Indústria
162,65,1959-02-11,Ceará,7795.33,Ensino Médio,0,Solteiro,Comércio
163,24,1999-07-11,Mato Grosso,7183.26,Ensino Superior,2,Casado,Saúde
164,52,1971-05-09,Sergipe,11539.21,Ensino Médio,1,Solteiro,Comércio
165,37,1986-04-29,Distrito Federal,3578.94,Ensino Médio,0,Casado,Comércio
166,23,2001-01-23,Amazonas,11301.55,Pós-graduação,0,Casado,Tecnologia
167,43,1980-09-03,Pernambuco,14621.56,Pós-graduação,1,Casado,Comércio
168,40,1983-09-03,Espírito Santo,8943.72,Ensino Médio,0,Solteiro,Comércio
169,18,2005-10-17,Rio de Janeiro,3379.71,Ensino Fundamental,0,Solteiro,Comércio
170,30,1993-09-26,Pernambuco,7044.22,Ensino Médio,1,Casado,Comércio
171,50,1973-07-28,Goiás,2431.25,Ensino Fundamental,0,Casado,Saúde
172,56,1967-08-11,Piauí,16055.04,Pós-graduação,1,Casado,Saúde
173,29,1994-12-03,Santa Catarina,12823.21,Ensino Superior,3,Casado,Tecnologia
174,65,1958-11-12,Paraíba,7668.86,Ensino Superior,0,Casado,Indústria
175,25,1998-12-28,Minas Gerais,3096.79,Ensino Médio,1,Casado,Comércio
176,46,1977-12-19,Sergipe,17877.27,Ensino Superior,1,Divorciado,Tecnologia
177,46,1978-03-11,Amazonas,6958.11,Ensino Médio,3,Solteiro,Educação
178,47,1976-08-27,Alagoas,6181.7,Ensino Médio,2,Casado,Saúde
179,39,1984-06-10,Amazonas,6191.66,Ensino Médio,1,Viúvo,Educação
180,31,1993-03-06,Goiás,9181.32,Ensino Médio,0,Divorciado,Tecnologia
181,53,1970-06-10,Sergipe,9347.17,Ensino Médio,0,Divorciado,Tecnologia
182,47,1976-11-10,São Paulo,4709.05,Ensino Médio,1,Casado,Indústria
183,31,1992-07-16,Minas Gerais,6317.55,Ensino Superior,0,Solteiro,Tecnologia
184,26,1998-01-25,Piauí,9365.53,Ensino Superior,4,Casado,Indústria
185,48,1975-06-21,Sergipe,10701.87,Ensino Superior,1,Casado,Tecnologia
186,28,1995-05-07,Maranhão,4655.06,Ensino Médio,1,Casado,Comércio
187,37,1986-12-20,Paraná,3529.75,Ensino Médio,1,Casado,Saúde
188,20,2003-06-15,Amapá,1577.65,Ensino Fundamental,0,Casado,Educação
189,34,1990-03-14,Minas Gerais,11255.37,Ensino Médio,2,Solteiro,Tecnologia
190,31,1993-02-20,Amazonas,10630.62,Ensino Superior,0,Casado,Comércio
191,24,1999-05-01,Goiás,4046.64,Ensino Médio,0,Casado,Educação
192,57,1966-05-16,Maranhão,10236.07,Ensino Médio,3,Divorciado,Saúde
193,30,1994-03-21,Roraima,2087.78,Ensino Fundamental,0,Casado,Educação
194,52,1972-02-03,Rio Grande do Norte,5300.92,Ensino Médio,4,Solteiro,Educação
195,19,2004-11-08,Alagoas,2850.48,Ensino Fundamental,1,Casado,Tecnologia
196,54,1969-06-26,Maranhão,16866.83,Ensino Superior,0,Solteiro,Comércio
197,39,1984-05-11,Maranhão,7552.46,Ensino Médio,1,Casado,Indústria
198,23,2001-03-31,Espírito Santo,3104.81,Ensino Médio,0,Casado,Comércio
199,47,1976-12-12,Santa Catarina,4280.54,Ensino Médio,0,Solteiro,Tecnologia
200,40,1983-09-15,Rondônia,4179.46,Ensino Fundamental,1,Casado,Tecnologia
201,32,1992-04-03,Rio Grande do Norte,7044.61,Ensino Médio,0,Solteiro,Indústria
202,33,1991-02-10,Mato Grosso,7076.26,Ensino Médio,2,Divorciado,Saúde
203,34,1989-12-13,Tocantins,2862.46,Ensino Fundamental,0,Solteiro,Indústria
204,20,2004-04-08,Rio de Janeiro,2250.39,Ensino Fundamental,0,Solteiro,Saúde
205,23,2000-11-02,Pará,4112.94,Ensino Fundamental,3,Casado,Saúde
206,58,1965-07-23,Mato Grosso,12102.74,Ensino Superior,1,Casado,Educação
207,31,1992-09-01,Roraima,4600.74,Ensino Médio,0,Casado,Educação
209,43,1980-12-20,Santa Catarina,5410.0,Ensino Médio,1,Casado,Indústria
210,23,2000-04-18,Piauí,2436.39,Ensino Fundamental,0,Casado,Educação
211,24,2000-02-20,Maranhão,1688.33,Ensino Fundamental,1,Divorciado,Educação
212,18,2005-11-26,Paraná,4458.81,Ensino Superior,1,Casado,Educação
213,48,1975-07-21,Goiás,6116.88,Ensino Médio,0,Casado,Saúde
214,21,2003-04-11,Rondônia,6802.31,Ensino Médio,0,Casado,Tecnologia
215,48,1976-02-26,Acre,3908.1,Ensino Médio,3,Divorciado,Comércio
216,82,1941-07-04,Paraná,4372.02,Ensino Médio,1,Divorciado,Indústria
217,54,1969-11-24,Pernambuco,5877.38,Ensino Fundamental,0,Casado,Saúde
218,39,1984-08-09,Distrito Federal,3001.45,Ensino Fundamental,0,Casado,Indústria
219,49,1974-04-21,Acre,17080.77,Ensino Superior,0,Viúvo,Saúde
220,62,1962-01-17,Bahia,22723.87,Pós-graduação,1,Solteiro,Saúde
221,24,1999-09-24,Minas Gerais,4600.44,Ensino Médio,2,Casado,Educação
223,50,1973-09-07,Ceará,5919.06,Ensino Fundamental,3,Casado,Tecnologia
224,68,1956-01-12,Acre,8226.63,Ensino Médio,0,Solteiro,Saúde
225,49,1974-11-07,Rio de Janeiro,9879.24,Ensino Médio,3,Solteiro,Tecnologia
226,48,1976-03-02,Santa Catarina,11552.93,Ensino Médio,0,Divorciado,Saúde
227,54,1969-09-16,Paraná,5273.75,Ensino Médio,2,Casado,Saúde
228,22,2001-09-23,Rondônia,7947.42,Ensino Superior,1,Casado,Saúde
229,53,1971-01-14,Pernambuco,10567.52,Ensino Superior,0,Casado,Saúde
230,25,1998-05-04,São Paulo,3366.68,Ensino Médio,2,Casado,Saúde
231,27,1996-07-04,Piauí,2890.9,Ensino Médio,1,Casado,Indústria
232,44,1979-08-05,Goiás,3328.35,Ensino Médio,0,Solteiro,Saúde
233,28,1995-11-10,Rondônia,4141.99,Ensino Fundamental,4,Casado,Comércio
234,53,1970-11-22,Mato Grosso do Sul,5328.74,Ensino Médio,1,Casado,Educação
235,28,1995-06-28,Distrito Federal,7515.56,Ensino Médio,1,Solteiro,Tecnologia
237,55,1968-08-23,Alagoas,3559.5,Ensino Fundamental,0,Casado,Educação
238,27,1996-10-30,Mato Grosso,5290.65,Ensino Médio,0,Casado,Educação
239,24,2000-02-18,Espírito Santo,11576.19,Ensino Superior,0,Casado,Saúde
240,41,1982-12-18,Rondônia,7211.05,Ensino Médio,1,Solteiro,Tecnologia
241,27,1996-08-17,Piauí,4641.33,Ensino Fundamental,0,Divorciado,Saúde
242,58,1965-12-10,Distrito Federal,11024.1,Ensino Médio,0,Casado,Saúde
243,29,1995-02-27,Amapá,1622.01,Ensino Fundamental,0,Solteiro,Educação
244,21,2002-04-23,Paraíba,4249.77,Ensino Superior,2,Casado,Educação
245,22,2002-02-09,Maranhão,4717.64,Ensino Médio,2,Casado,Indústria
246,37,1987-02-13,Roraima,4854.06,Ensino Médio,1,Solteiro,Comércio
247,23,2000-04-26,Alagoas,3346.05,Ensino Fundamental,4,Casado,Educação
248,39,1984-08-15,Distrito Federal,8933.86,Ensino Médio,3,Divorciado,Tecnologia
249,55,1968-06-11,Amazonas,8467.03,Ensino Médio,1,Casado,Tecnologia
251,38,1985-12-07,Espírito Santo,2572.05,Ensino Fundamental,0,Casado,Comércio
252,49,1975-01-01,Goiás,5140.76,Ensino Médio,1,Casado,Comércio
253,46,1978-01-09,Acre,10092.79,Ensino Superior,5,Solteiro,Indústria
254,58,1966-02-22,Tocantins,6074.02,Ensino Médio,0,Solteiro,Educação
258,30,1993-08-19,Santa Catarina,6463.25,Ensino Médio,1,Solteiro,Indústria
260,57,1966-05-11,Bahia,11597.37,Ensino Médio,2,Viúvo,Saúde
261,48,1975-05-11,Amazonas,9033.76,Ensino Médio,0,Solteiro,Indústria
262,41,1982-05-22,Paraná,4647.58,Ensino Médio,1,Solteiro,Educação
263,36,1987-11-18,Pará,3020.45,Ensino Fundamental,1,Divorciado,Indústria
264,39,1985-03-21,Tocantins,5991.79,Ensino Fundamental,1,Casado,Indústria
265,73,1950-08-27,Rio Grande do Norte,3273.41,Ensino Médio,1,Divorciado,Educação
266,42,1981-06-28,São Paulo,10692.23,Ensino Superior,1,Casado,Comércio
267,64,1959-11-18,Tocantins,6614.18,Ensino Médio,0,Solteiro,Comércio
269,19,2005-01-13,Distrito Federal,3861.39,Ensino Médio,0,Casado,Indústria
270,30,1994-03-09,Mato Grosso,8576.27,Ensino Superior,3,Casado,Comércio
271,27,1997-02-18,Paraíba,3161.43,Ensino Médio,0,Casado,Educação
272,24,1999-12-28,Pará,7933.51,Ensino Superior,0,Casado,Tecnologia
273,44,1979-07-13,Paraíba,4506.34,Ensino Médio,1,Divorciado,Comércio
274,25,1998-05-30,Santa Catarina,12669.21,Pós-graduação,5,Solteiro,Saúde
275,24,1999-10-24,Roraima,2908.89,Ensino Fundamental,1,Casado,Comércio
276,64,1959-11-09,Rondônia,13497.12,Ensino Superior,1,Divorciado,Saúde
277,58,1965-05-11,Ceará,10228.03,Ensino Médio,4,Casado,Tecnologia
278,82,1942-03-06,Ceará,6292.86,Ensino Fundamental,0,Solteiro,Tecnologia
279,37,1986-07-12,Acre,5506.88,Ensino Fundamental,2,Divorciado,Comércio
280,57,1966-11-12,Mato Grosso do Sul,5278.49,Ensino Médio,0,Solteiro,Educação
281,29,1994-08-21,Bahia,6294.38,Pós-graduação,3,Casado,Educação
282,23,2000-04-27,Amazonas,3252.11,Ensino Médio,0,Casado,Saúde
283,62,1962-01-21,Paraíba,6297.94,Ensino Médio,2,Casado,Indústria
284,43,1980-09-19,Amapá,7872.74,Ensino Médio,0,Casado,Tecnologia
285,27,1997-03-08,Rio Grande do Norte,8061.9,Ensino Superior,0,Casado,Educação
286,46,1977-11-20,Minas Gerais,5608.86,Ensino Fundamental,1,Casado,Comércio
287,59,1965-01-18,Rio Grande do Sul,12570.16,Ensino Médio,2,Casado,Indústria
288,38,1986-03-21,Paraná,5056.91,Ensino Fundamental,1,Casado,Educação
289,60,1963-06-17,Santa Catarina,11366.2,Ensino Médio,2,Casado,Tecnologia
290,28,1995-11-24,Amazonas,4526.72,Ensino Superior,2,Casado,Indústria
291,47,1977-02-13,Rio de Janeiro,4512.87,Ensino Médio,0,Casado,Tecnologia
292,32,1992-03-08,Amapá,3301.54,Ensino Médio,1,Solteiro,Indústria
293,29,1994-09-30,Paraná,6339.02,Ensino Médio,2,Casado,Indústria
294,49,1975-03-06,Pará,9258.55,Ensino Superior,0,Casado,Comércio
295,29,1994-11-29,Santa Catarina,6184.25,Ensino Superior,0,Solteiro,Tecnologia
296,37,1986-07-10,Tocantins,3750.12,Ensino Médio,1,Viúvo,Saúde
297,29,1994-11-08,Pará,6175.1,Ensino Superior,0,Casado,Educação
298,28,1995-09-06,Santa Catarina,4219.65,Ensino Fundamental,0,Divorciado,Tecnologia
299,62,1961-12-12,Minas Gerais,16177.35,Pós-graduação,2,Casado,Tecnologia
300,29,1994-04-17,Rio Grande do Norte,5774.08,Ensino Médio,1,Casado,Indústria
301,40,1983-12-08,Minas Gerais,2053.74,Ensino Fundamental,2,Casado,Saúde
302,40,1984-01-30,Espírito Santo,7137.4,Ensino Médio,1,Casado,Saúde
303,29,1995-02-16,Mato Grosso do Sul,5311.03,Ensino Médio,2,Solteiro,Tecnologia
304,25,1998-12-08,Piauí,2342.22,Ensino Médio,2,Casado,Educação
305,34,1990-03-27,Paraíba,6652.8,Ensino Médio,1,Casado,Comércio
306,35,1988-12-30,Minas Gerais,10370.07,Pós-graduação,3,Solteiro,Saúde
307,63,1960-06-05,Rondônia,7950.42,Ensino Médio,0,Solteiro,Indústria
308,34,1989-08-06,Rio Grande do Norte,5346.57,Ensino Médio,1,Casado,Tecnologia
309,18,2005-11-18,Goiás,5029.46,Ensino Médio,1,Casado,Educação
311,22,2001-08-29,Pará,5598.33,Ensino Médio,0,Divorciado,Saúde
312,46,1978-01-31,Rio Grande do Sul,8339.84,Ensino Médio,3,Casado,Tecnologia
313,43,1980-09-23,Santa Catarina,7961.51,Ensino Médio,1,Casado,Tecnologia
314,21,2002-04-13,Maranhão,3880.5,Ensino Fundamental,1,Divorciado,Indústria
315,23,2000-10-19,Mato Grosso do Sul,2698.56,Ensino Fundamental,0,Casado,Indústria
316,35,1988-12-25,Rondônia,6410.79,Ensino Superior,1,Casado,Comércio
317,29,1995-03-04,Pernambuco,2229.1,Ensino Fundamental,0,Casado,Educação
318,46,1977-09-27,Pernambuco,20522.57,Pós-graduação,2,Solteiro,Saúde
319,22,2001-09-29,Ceará,3494.66,Ensino Médio,1,Casado,Indústria
320,45,1978-04-13,Rio de Janeiro,3141.15,Ensino Médio,1,Divorciado,Educação
321,43,1980-08-23,Ceará,3922.83,Ensino Médio,0,Casado,Educação
322,36,1987-08-14,Bahia,3147.37,Ensino Médio,1,Casado,Indústria
323,18,2006-03-26,Maranhão,11196.44,Ensino Superior,1,Casado,Tecnologia
324,25,1998-10-31,Rio Grande do Sul,3106.34,Ensino Médio,0,Casado,Comércio
325,24,1999-11-01,Mato Grosso,3892.44,Ensino Fundamental,1,Casado,Educação
326,59,1965-01-26,Santa Catarina,10750.77,Ensino Superior,0,Casado,Educação
327,48,1975-05-14,Goiás,2155.99,Ensino Fundamental,1,Viúvo,Comércio
328,32,1991-11-26,Rondônia,4764.25,Ensino Fundamental,0,Viúvo,Saúde
330,45,1978-06-11,Maranhão,7378.17,Ensino Médio,1,Casado,Saúde
331,22,2001-05-05,Distrito Federal,2440.31,Ensino Fundamental,2,Casado,Comércio
332,73,1951-01-17,Mato Grosso,8561.85,Ensino Médio,0,Solteiro,Tecnologia
333,30,1993-05-02,Bahia,7874.45,Ensino Médio,2,Casado,Indústria
334,57,1967-03-29,Mato Grosso do Sul,3777.83,Ensino Fundamental,0,Casado,Indústria
335,23,2000-08-04,Goiás,10281.13,Pós-graduação,0,Solteiro,Indústria
336,32,1991-08-16,Ceará,5342.0,Ensino Médio,2,Casado,Saúde
338,58,1965-06-29,Rio Grande do Norte,8660.96,Ensino Médio,3,Solteiro,Indústria
339,45,1979-02-12,Mato Grosso,14945.18,Ensino Médio,0,Solteiro,Tecnologia
340,47,1976-06-14,Santa Catarina,11114.65,Ensino Superior,0,Solteiro,Tecnologia
341,64,1959-08-25,Goiás,18940.93,Ensino Superior,0,Casado,Tecnologia
342,22,2001-11-18,Alagoas,6437.54,Ensino Médio,0,Casado,Indústria
343,41,1982-06-27,Mato Grosso,1936.53,Ensino Fundamental,1,Solteiro,Comércio
344,26,1998-04-01,Amapá,3359.49,Ensino Superior,4,Solteiro,Comércio
345,22,2002-03-16,Roraima,5012.02,Ensino Fundamental,2,Solteiro,Tecnologia
346,31,1992-09-18,Goiás,4730.76,Ensino Médio,0,Casado,Tecnologia
347,36,1987-07-26,Amapá,3858.2,Ensino Médio,1,Casado,Comércio
348,22,2002-03-12,Piauí,3316.72,Ensino Médio,0,Casado,Educação
350,21,2003-01-19,Pará,2319.74,Ensino Fundamental,0,Casado,Educação
351,50,1973-04-29,Mato Grosso do Sul,11498.57,Ensino Superior,2,Casado,Saúde
352,27,1996-10-14,Ceará,6340.9,Ensino Médio,2,Casado,Saúde
353,36,1988-02-23,Mato Grosso do Sul,7064.27,Ensino Superior,0,Casado,Saúde
354,21,2002-05-14,Rio Grande do Sul,4461.93,Ensino Superior,1,Solteiro,Saúde
